pathogen	region	country	test_result	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
RINO	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
FLUB	Norte	Brazil	1.0	34	45	54	85	97	123	628	186	167	180	40	28	10	12	13	7	28	7	6	4	17	15	6	7	13	5	9	6	5	10	8	6	5	3	1	6	1	5	3	2	4	4	3	3	1	3	5	2	3	3	5	3	3	2	0	0	3	1	0	0	0
FLUB	Nordeste	Brazil	1.0	60	36	55	346	1079	921	136	140	278	152	92	57	24	39	27	12	21	11	7	8	11	18	23	19	22	19	25	39	24	25	12	11	14	10	11	5	6	6	6	8	7	11	4	6	10	9	7	8	15	8	17	14	7	8	0	0	7	3	1	0	0
FLUB	Sul	Brazil	1.0	5	6	67	155	684	696	27	13	57	113	44	50	42	53	33	18	17	15	15	29	52	79	87	106	123	85	129	140	150	176	139	134	76	75	46	53	49	50	55	60	32	41	38	37	34	53	76	25	107	28	136	98	93	52	3	0	33	13	15	19	0
FLUB	Sudeste	Brazil	1.0	2068	2056	1445	4479	12528	20520	17047	6290	5306	3823	2373	1888	859	1007	770	325	716	288	80	177	215	333	361	394	431	513	491	405	414	343	337	322	234	216	209	215	229	269	292	320	330	447	507	654	498	570	597	255	742	57	581	391	328	330	6	0	176	143	117	161	0
FLUB	Centro-Oeste	Brazil	1.0	349	302	349	1687	2575	4233	4805	2447	2248	1297	890	622	443	614	464	217	269	80	58	107	148	132	136	169	200	184	244	165	153	104	101	83	68	76	56	61	66	99	83	115	111	164	138	153	120	94	76	56	102	41	143	116	113	123	8	0	61	51	65	61	0
PARA	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
SC2	Norte	Brazil	1.0	71	96	101	207	1227	2809	3322	2376	1266	832	553	428	230	284	206	227	238	263	137	95	146	135	137	126	155	184	304	202	521	581	706	504	465	261	135	154	106	92	102	60	85	65	57	18	77	138	198	51	48	129	153	160	181	47	2	9	22	6	23	24	0
SC2	Nordeste	Brazil	1.0	118	119	138	524	4523	4837	3126	4313	3069	1169	782	607	418	387	321	269	365	276	186	167	239	270	282	223	215	327	573	525	443	3755	2942	1935	1436	1096	994	223	917	1017	646	495	579	517	497	412	372	465	403	430	1844	3245	3288	1793	717	486	33	0	414	491	354	340	39
SC2	Sul	Brazil	1.0	87	16	78	190	1067	738	49	27	69	158	49	60	50	86	54	57	49	60	50	63	118	135	146	173	188	143	199	170	168	2882	3095	2636	1969	1671	1443	189	1422	1280	1315	922	1027	860	803	836	594	731	827	611	1071	1800	2278	2232	2080	1882	20	6	1084	878	497	195	38
SC2	Sudeste	Brazil	1.0	14299	7932	11131	17276	36326	27007	27161	17543	12018	6911	8848	4723	2542	3918	4891	10055	10634	9930	8993	8272	11907	11311	11613	13476	15748	16662	18181	10915	10012	8392	14498	15869	10433	7354	6473	5909	5411	4618	4657	3942	4732	4886	3938	4095	2613	3676	3921	729	2146	2204	2862	2028	1627	1309	76	146	1536	2868	2363	2593	2
SC2	Centro-Oeste	Brazil	1.0	681	905	1033	3766	24436	31050	26756	27457	24636	16542	10741	7707	5485	5393	4152	3664	3541	2870	2841	2382	2948	2852	3998	4528	7935	16019	23355	18187	16545	14616	9787	7136	5211	4198	3739	3708	3143	3117	2895	2656	3016	2273	1836	681	1333	1603	1425	616	1234	4793	7848	8756	8990	2615	12	141	160	173	896	783	0
COVS	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COVS	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COVS	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COVS	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COVS	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
FLUA	Norte	Brazil	1.0	34	45	54	85	97	123	628	186	167	180	40	28	10	12	13	7	28	7	6	4	17	15	6	7	13	5	9	6	5	10	8	6	5	3	1	6	1	5	3	2	4	4	3	3	1	3	5	2	3	3	5	3	3	2	0	0	3	1	0	0	0
FLUA	Nordeste	Brazil	1.0	60	36	55	346	1079	922	136	140	278	152	92	57	24	39	27	12	21	11	7	8	11	18	23	19	22	19	25	39	24	25	12	11	15	10	11	5	6	6	6	8	7	11	4	6	10	9	7	8	15	8	17	14	7	8	0	0	7	3	1	0	0
FLUA	Sul	Brazil	1.0	5	6	67	155	684	696	27	13	57	113	44	50	42	53	33	18	17	15	15	29	52	79	87	106	123	85	129	140	150	176	139	134	76	75	46	53	49	50	55	60	32	41	38	37	34	53	76	25	107	28	136	98	93	52	3	1	33	13	15	19	0
FLUA	Sudeste	Brazil	1.0	2068	2056	1444	4478	12533	20523	17048	6292	5306	3823	2373	1888	859	1007	770	325	716	288	80	177	215	333	361	394	431	513	491	405	414	343	337	322	234	216	209	215	229	269	292	320	330	447	507	654	498	570	597	255	742	57	581	391	328	330	6	1	176	143	116	161	0
FLUA	Centro-Oeste	Brazil	1.0	349	302	349	1687	2576	4233	4805	2447	2248	1297	890	622	443	614	464	217	269	80	58	107	148	132	136	169	200	184	244	165	153	104	101	83	68	76	56	61	66	99	83	115	111	164	138	153	120	94	76	56	102	41	143	116	113	123	8	0	61	51	64	61	0
BOCA	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOCA	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOCA	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOCA	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOCA	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
BAC	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC	Sudeste	Brazil	0.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC	Centro-Oeste	Brazil	0.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
ENTERO	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTERO	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTERO	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTERO	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTERO	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
META	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
META	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
META	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
META	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
META	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
VSR	Norte	Brazil	1.0	34	45	54	85	97	123	628	186	167	180	40	28	10	12	13	7	28	7	6	4	17	15	6	7	13	5	9	6	5	10	8	6	5	3	1	6	1	5	3	2	4	4	3	3	1	3	5	2	3	3	5	3	3	2	0	0	3	1	0	0	0
VSR	Nordeste	Brazil	1.0	60	36	55	346	1079	922	136	140	278	152	92	57	24	39	27	12	21	11	7	8	11	18	23	19	22	19	25	39	24	25	12	11	14	10	11	5	6	6	6	8	7	11	4	6	10	9	7	8	15	8	17	14	7	8	0	1	7	4	3	0	0
VSR	Sul	Brazil	1.0	5	6	67	154	684	696	27	13	57	113	44	50	42	53	33	18	17	15	15	29	52	79	87	106	123	85	129	140	150	176	139	134	76	75	46	53	49	50	55	60	32	41	38	37	34	53	76	25	107	28	136	98	93	52	3	0	33	13	15	19	0
VSR	Sudeste	Brazil	1.0	2068	2056	1443	4478	12531	20522	17048	6292	5306	3823	2373	1888	859	1007	770	325	716	288	80	177	215	333	361	394	431	513	491	405	414	343	337	322	234	216	209	215	229	269	292	320	330	447	507	654	498	570	597	255	742	57	581	391	328	330	6	1	178	146	119	161	0
VSR	Centro-Oeste	Brazil	1.0	349	302	349	1687	2576	4233	4805	2447	2248	1297	890	622	443	614	464	217	269	80	58	107	148	132	136	169	200	184	244	165	153	104	101	83	68	76	56	61	66	99	83	115	111	164	138	153	120	94	76	56	102	41	143	116	113	123	8	1	61	51	65	61	0
ADENO	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADENO	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADENO	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADENO	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADENO	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
