state	pathogen	test_result	state_code	country	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Rondônia	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goiás	SC2	1	MA	Brazil	2	6	9	75	552	825	738	534	445	280	113	69	35	24	21	8	3	5	4	3	4	4	20	24	77	109	235	201	253	1513	1067	746	490	310	205	154	104	65	39	17	16	5	8	10	6	9	13	22	105	357	802	998	737	719	0	18	12	12	110	83	0
Goiás	SC2	0	MA	Brazil	121	137	171	677	1390	1599	832	516	538	397	324	290	310	248	212	136	176	116	124	98	128	80	145	133	186	190	389	271	369	2681	2237	1686	1473	1222	1172	1076	1027	1040	967	919	989	908	720	598	464	491	469	364	536	984	1541	1526	1161	1189	10	21	32	61	709	625	0
Goiás	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceará	SC2	1	MA	Brazil	0	0	0	10	112	96	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	1	84	100	55	17	9	3	0	1	0	1	0	0	0	1	0	0	0	0	0	1	20	82	82	15	11	2	0	0	1	0	0	0
Amapá	SC2	1	MA	Brazil	1	0	3	1	1	3	1	0	4	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maranhão	SC2	0	MA	Brazil	13	11	8	52	680	530	181	174	134	71	74	53	34	44	18	24	19	41	19	13	18	32	27	29	32	48	39	12	26	34	36	22	15	5	10	11	8	15	11	9	12	2	4	2	2	3	17	0	5	18	9	8	6	3	2	0	1	5	1	1	0
Amapá	SC2	0	MA	Brazil	3	5	6	35	24	8	0	0	5	5	4	1	0	1	0	0	1	3	2	2	1	3	1	0	1	0	2	1	1	1	3	0	2	1	0	1	2	1	1	0	0	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Paraíba	SC2	1	MA	Brazil	0	0	0	0	16	15	0	148	149	2	5	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	498	372	143	110	70	45	0	14	11	6	4	4	1	1	3	5	4	9	24	506	1011	624	151	54	30	0	0	11	10	1	2	0
Paraná	SC2	0	MA	Brazil	8	5	47	50	170	190	15	15	33	94	24	47	41	53	29	33	24	26	16	26	45	73	70	83	75	68	96	90	92	1820	1811	1613	1127	999	907	132	968	885	837	524	585	521	486	546	374	426	454	296	639	960	1119	950	819	583	12	0	296	233	186	148	27
Paraná	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roraima	SC2	1	MA	Brazil	0	0	0	0	0	4	0	14	15	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	1	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roraima	SC2	0	MA	Brazil	0	0	0	0	0	1	0	4	15	9	13	6	1	0	1	1	3	1	1	4	0	0	1	1	1	0	2	1	6	3	6	2	3	0	2	3	0	1	3	0	2	2	0	1	0	1	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0
Roraima	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Espírito Santo	SC2	1	MA	Brazil	8	2	3	5	16	49	183	173	88	20	10	1	0	1	0	1	0	0	0	2	2	6	9	8	15	4	110	61	174	230	187	151	48	31	31	12	2	1	2	1	1	0	1	2	0	1	1	1	4	27	24	30	22	11	1	2	7	5	0	0	0
Espírito Santo	SC2	0	MA	Brazil	104	82	85	100	87	65	74	77	49	26	37	16	27	33	34	35	24	9	26	47	70	84	65	98	80	16	191	108	231	254	263	205	113	106	102	56	7	12	46	14	49	26	17	22	18	26	30	10	11	35	26	20	20	19	2	0	71	43	6	4	0
Paraná	SC2	1	MA	Brazil	1	0	1	5	85	101	16	9	19	44	13	3	3	0	6	4	1	1	3	6	10	11	18	15	22	18	28	20	27	734	789	554	433	253	203	12	163	114	70	40	28	27	32	16	26	10	28	40	175	475	715	667	659	454	7	1	128	71	39	21	5
Espírito Santo	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bahia	SC2	0	MA	Brazil	64	39	78	155	1919	1847	1270	1252	965	627	444	426	342	307	282	193	277	187	143	115	168	163	150	104	87	169	307	275	185	336	334	279	233	176	128	143	165	154	102	95	99	91	65	16	41	67	31	17	31	134	276	221	158	69	4	0	10	19	13	14	2
Bahia	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pará	SC2	1	MA	Brazil	5	12	3	3	34	145	539	544	181	97	27	12	4	8	2	1	3	4	2	0	2	1	1	2	0	3	5	14	22	43	59	56	24	14	7	4	2	2	0	1	2	3	2	1	6	14	33	18	12	22	19	7	9	3	0	2	1	1	14	20	0
Pará	SC2	0	MA	Brazil	33	44	50	46	188	238	284	242	192	256	121	75	54	74	40	56	111	58	48	27	52	44	31	23	55	47	53	28	60	62	74	81	54	34	22	30	24	25	19	12	27	15	16	4	15	29	51	10	11	23	30	31	17	1	2	1	7	1	1	2	0
Pará	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acre	SC2	1	MA	Brazil	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acre	SC2	0	MA	Brazil	1	0	4	1	1	2	1	0	0	0	3	0	1	0	0	0	0	0	0	1	1	2	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bahia	SC2	1	MA	Brazil	11	7	12	27	839	1401	1506	1674	879	378	179	79	24	24	7	10	9	8	5	3	8	14	16	19	39	56	162	181	188	293	276	170	92	49	38	18	15	9	8	4	9	4	0	0	3	1	8	1	12	186	452	378	111	27	1	0	3	3	2	2	0
Tocantins	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tocantins	SC2	0	MA	Brazil	10	12	10	26	299	443	322	293	235	197	163	164	94	82	51	69	64	57	25	30	41	43	38	36	47	57	129	47	122	85	74	51	37	29	25	30	18	21	7	11	17	10	11	0	5	11	11	0	3	21	27	47	74	6	0	0	0	0	0	0	0
Tocantins	SC2	1	MA	Brazil	2	0	3	1	100	181	275	276	178	96	51	23	4	4	3	1	2	2	2	0	6	4	8	11	9	24	34	30	32	44	22	25	17	18	9	6	5	4	3	1	1	0	0	0	1	1	1	0	0	9	14	19	27	3	0	1	0	0	0	0	0
Paraíba	SC2	0	MA	Brazil	1	0	2	52	82	52	0	60	58	0	4	3	0	2	1	1	3	1	0	0	2	1	1	2	1	1	2	0	1	689	539	329	270	213	172	3	162	181	106	72	98	78	87	56	57	85	61	56	335	579	502	249	133	156	1	0	76	87	66	61	4
Paraíba	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Santa Catarina	SC2	1	MA	Brazil	5	0	4	19	279	100	7	0	5	2	3	0	0	4	0	1	1	7	4	3	6	9	9	17	17	14	14	14	9	55	36	41	37	35	17	12	17	30	24	25	7	5	5	3	5	5	10	10	19	27	67	154	82	95	1	2	42	18	8	0	0
Santa Catarina	SC2	0	MA	Brazil	69	7	25	99	466	184	9	2	10	15	8	7	6	28	16	13	17	17	21	14	42	31	40	42	51	30	52	38	29	124	314	305	253	268	240	30	203	181	326	273	337	280	238	252	150	276	281	251	198	298	341	422	448	677	0	3	572	538	251	12	6
Santa Catarina	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mato Grosso do Sul	SC2	1	MA	Brazil	3	6	4	7	60	121	205	374	256	161	52	20	2	2	3	1	2	2	2	1	1	5	4	12	12	4	51	23	59	65	55	33	18	15	12	7	9	2	3	2	0	2	1	0	0	0	1	1	0	4	5	6	9	8	0	1	6	2	6	2	0
Mato Grosso do Sul	SC2	0	MA	Brazil	70	38	107	125	207	192	178	201	153	130	89	31	45	22	12	28	20	18	15	36	23	34	41	55	29	24	80	29	56	79	78	54	29	36	33	23	19	30	13	15	28	16	21	7	3	15	8	2	7	12	8	16	14	11	0	0	15	7	6	4	0
Mato Grosso do Sul	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio de Janeiro	SC2	1	MA	Brazil	80	20	223	1867	5949	3106	6726	5231	1723	294	140	136	31	64	127	83	84	64	133	154	282	288	350	337	426	276	1219	948	788	500	1298	1229	500	329	215	149	35	2	18	19	73	34	11	30	50	110	217	33	164	196	211	117	74	36	1	10	106	93	77	61	0
Rio de Janeiro	SC2	0	MA	Brazil	10929	3921	6500	7292	5595	1628	2969	3935	2317	838	718	1906	603	1721	3133	2865	2749	1611	1382	1547	2220	1548	1165	1095	910	530	1567	1062	838	762	2615	3630	2046	1861	1375	1246	350	112	510	489	810	867	289	668	562	692	620	106	316	236	373	259	169	147	5	0	530	665	520	579	0
Rio de Janeiro	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Distrito Federal	SC2	1	MA	Brazil	11	5	8	235	5593	9205	10078	12486	10911	6173	3300	1644	763	503	263	160	124	89	130	108	199	310	621	1043	2675	6296	9851	8792	7238	3931	2078	1127	684	454	312	321	151	114	76	62	113	37	35	1	107	58	87	35	114	1213	1968	2853	3250	244	0	32	7	6	2	4	0
Distrito Federal	SC2	0	MA	Brazil	199	277	287	1735	13834	14938	10225	10710	10222	8127	5983	4954	3828	4112	3224	2982	2881	2347	2221	1909	2344	2249	2898	3006	4544	8874	12009	8150	7641	5352	3372	2697	2027	1871	1735	1885	1633	1640	1615	1485	1703	1153	920	52	675	930	750	173	422	2046	3243	2996	3397	325	2	44	60	64	45	50	0
Distrito Federal	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minas Gerais	SC2	1	MA	Brazil	7	19	45	182	882	1759	2210	1491	1287	561	243	112	64	35	19	15	9	12	14	23	23	41	68	152	206	106	289	190	196	140	138	119	61	31	18	20	9	7	10	8	1	0	5	3	3	3	3	2	5	19	51	55	68	66	6	31	26	11	14	7	0
Minas Gerais	SC2	0	MA	Brazil	412	420	768	1194	2118	2615	1850	1006	977	612	430	375	339	311	256	245	205	191	197	144	252	179	231	280	396	199	592	354	357	267	287	281	218	176	125	138	192	106	123	180	139	105	161	187	60	190	49	50	65	48	123	158	101	110	8	0	39	46	28	28	1
Minas Gerais	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amapá	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maranhão	SC2	1	MA	Brazil	5	4	1	4	364	404	160	91	123	76	43	31	13	3	3	1	3	1	3	3	9	10	26	18	27	35	27	11	18	21	25	18	14	7	6	8	4	7	4	0	2	0	1	0	1	0	0	2	1	4	12	13	7	2	0	0	0	0	0	1	0
Goiás	RINO	1	GO	Brazil	0	0	0	3	36	24	5	4	2	7	8	14	10	6	5	2	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Goiás	RINO	0	GO	Brazil	0	0	0	32	311	318	153	127	64	47	42	48	36	19	19	20	8	1	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	12	0
Rio de Janeiro	RINO	1	GO	Brazil	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio de Janeiro	RINO	0	GO	Brazil	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio de Janeiro	PARA	1	RJ	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio de Janeiro	PARA	0	RJ	Brazil	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goiás	PARA	1	RJ	Brazil	0	0	0	0	5	5	0	4	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Goiás	PARA	0	RJ	Brazil	0	0	0	35	342	337	158	127	66	53	48	61	45	23	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	12	0
São Paulo	VSR	1	ES	Brazil	13	16	18	58	123	120	34	7	10	12	17	14	32	37	23	27	35	20	18	31	34	45	50	45	43	51	52	37	33	27	31	35	15	13	11	9	12	8	17	15	10	12	21	43	56	83	101	52	111	4	77	63	63	71	0	1	25	20	16	16	0
Alagoas	VSR	1	ES	Brazil	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alagoas	VSR	0	ES	Brazil	0	0	1	19	166	168	0	0	11	2	6	4	0	2	0	0	1	1	0	2	1	4	2	4	1	0	2	5	5	5	2	2	1	2	1	0	1	0	0	0	0	0	1	0	2	1	0	0	0	1	7	1	0	1	0	0	1	1	0	0	0
Maranhão	VSR	1	ES	Brazil	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maranhão	VSR	0	ES	Brazil	13	4	9	33	61	71	20	0	61	22	9	6	4	3	1	1	2	4	1	0	1	0	2	1	5	2	1	2	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	0	1	1	0	0	0
Paraíba	VSR	1	ES	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Paraíba	VSR	0	ES	Brazil	0	0	1	51	98	67	0	0	3	2	1	3	0	1	1	0	1	0	0	1	1	1	0	0	1	2	0	0	1	4	1	0	3	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	1	0	0	0
Espírito Santo	VSR	1	ES	Brazil	0	2	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Espírito Santo	VSR	0	ES	Brazil	54	50	17	57	54	107	195	140	101	38	12	14	16	18	9	2	6	2	0	1	2	2	2	0	1	3	2	1	1	0	5	0	0	1	1	0	0	1	1	0	2	0	1	0	0	5	0	2	2	1	2	0	1	0	0	0	0	0	0	0	0
Tocantins	VSR	1	ES	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tocantins	VSR	0	ES	Brazil	3	5	5	2	18	5	1	0	9	12	4	3	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Goiás	VSR	0	ES	Brazil	58	55	89	574	1086	1461	886	506	590	345	248	182	110	137	133	32	92	31	14	28	43	18	28	39	42	39	50	25	29	19	36	10	14	20	13	14	17	21	16	34	44	131	104	112	55	35	31	22	35	38	61	36	23	26	7	0	6	4	24	19	0
Amazonas	VSR	1	ES	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acre	VSR	1	ES	Brazil	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acre	VSR	0	ES	Brazil	1	0	3	1	0	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sergipe	VSR	1	ES	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	3	2	2	0	3	3	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0
Sergipe	VSR	0	ES	Brazil	0	0	0	5	32	65	0	0	20	3	8	4	1	0	3	0	0	1	1	1	3	1	4	6	2	3	5	8	6	6	2	3	2	1	3	2	2	2	3	2	3	6	1	5	5	4	1	3	4	2	0	1	1	4	0	0	3	0	0	0	0
Santa Catarina	VSR	1	ES	Brazil	0	0	2	5	6	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Santa Catarina	VSR	0	ES	Brazil	4	6	22	102	404	264	0	0	8	10	8	0	1	1	2	0	2	2	3	4	5	2	7	11	26	11	21	35	34	40	30	57	25	15	14	13	11	9	1	8	6	7	3	3	2	12	22	5	24	12	19	9	14	6	1	0	3	0	0	0	0
Pará	VSR	1	ES	Brazil	0	0	0	0	0	1	0	0	0	0	2	2	0	1	1	0	2	2	2	1	9	4	1	2	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pará	VSR	0	ES	Brazil	18	23	25	33	32	71	203	127	64	145	28	17	7	8	7	6	21	4	3	3	5	4	1	2	6	3	7	3	2	8	7	6	4	3	1	4	1	5	2	2	4	3	3	3	1	3	3	2	3	3	5	0	3	1	0	0	3	1	0	0	0
Minas Gerais	VSR	1	ES	Brazil	6	3	1	10	39	47	31	8	4	6	4	5	2	2	3	0	1	1	0	1	0	1	1	3	1	1	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Minas Gerais	VSR	0	ES	Brazil	205	234	209	698	2271	4113	3639	1872	1730	754	424	428	208	199	93	16	111	31	4	2	4	6	6	5	14	9	13	7	10	11	4	1	7	3	4	2	1	6	7	9	13	8	11	10	8	15	8	4	1	3	6	7	2	2	0	0	4	0	0	0	0
Amazonas	VSR	0	ES	Brazil	3	11	9	10	14	22	420	59	79	4	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goiás	VSR	1	ES	Brazil	2	2	10	49	56	84	17	24	16	26	34	42	36	26	24	11	12	2	5	8	4	1	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	1	1	0	0	3	2	0
Ceará	VSR	0	ES	Brazil	0	1	0	84	280	232	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	3	2	1	0	1	1	1	1	2	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0
Ceará	VSR	1	ES	Brazil	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
São Paulo	VSR	0	ES	Brazil	1221	1440	1054	3269	9105	13035	11051	3657	2904	2772	1767	1343	534	658	574	232	479	209	49	118	145	217	229	236	293	341	327	282	300	257	243	227	178	153	160	185	185	225	223	249	268	397	440	556	382	409	399	161	460	42	376	257	220	213	5	0	120	100	78	115	0
Rio de Janeiro	VSR	1	ES	Brazil	2	2	0	5	4	7	5	2	0	0	1	0	0	9	2	8	4	2	0	8	8	15	18	16	9	12	5	6	5	2	1	1	1	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	1	3	3	2	0
Rio de Janeiro	VSR	0	ES	Brazil	567	309	144	381	934	3090	2092	606	557	241	148	84	67	84	66	40	79	22	7	16	22	47	55	89	69	96	90	71	65	44	53	58	33	44	33	19	31	29	42	47	37	28	34	44	51	58	89	36	167	7	120	64	42	41	0	0	27	23	21	28	0
